model_name_formatted,scenario_label,dataset_name_formatted,post_training_stage,precision,recall,f1_score
Gemma_3_1B_Instruct,false premise,FalseQA,NA,0.6336898395721925,0.34497816593886466,0.4467483506126296
Gemma_3_1B_Instruct,false premise,KUQ/False assumptions,NA,0.8688524590163934,0.7969924812030075,0.8313725490196079
Gemma_3_1B_Instruct,false premise,QAQA,NA,0.6567164179104478,0.3087719298245614,0.4200477326968974
Gemma_3_1B_Instruct,stale,CoCoNot/Temporal,NA,1.0,0.40540540540540543,0.5769230769230769
Gemma_3_1B_Instruct,stale,FreshQA,NA,0.4166666666666667,0.10638297872340426,0.1694915254237288
Gemma_3_1B_Instruct,subjective,CoCoNot/Humanizing,NA,1.0,0.8658536585365854,0.9281045751633987
Gemma_3_1B_Instruct,subjective,CoCoNot/Subjective,NA,1.0,0.96,0.9795918367346939
Gemma_3_1B_Instruct,subjective,KUQ/Controversial,NA,0.8694444444444445,0.9287833827893175,0.8981348637015782
Gemma_3_1B_Instruct,subjective,MoralChoice,NA,0.9673202614379085,0.21764705882352942,0.3553421368547419
Gemma_3_1B_Instruct,underspecified context,ALCUNA,NA,0.873,0.504041570438799,0.6390922401171303
Gemma_3_1B_Instruct,underspecified context,BB/Disambiguate,NA,0.0,0.0,0.0
Gemma_3_1B_Instruct,underspecified context,BBQ,NA,0.8048552754435108,0.484814398200225,0.6051246051246051
Gemma_3_1B_Instruct,underspecified context,GPQA-Diamond,NA,0.8571428571428571,0.15,0.2553191489361702
Gemma_3_1B_Instruct,underspecified context,GSM8K,NA,0.9856396866840731,0.6229372937293729,0.7633973710819009
Gemma_3_1B_Instruct,underspecified context,MMLU History,NA,1.0,0.05128205128205128,0.0975609756097561
Gemma_3_1B_Instruct,underspecified context,MMLU Math,NA,0.9245283018867925,0.3684210526315789,0.5268817204301075
Gemma_3_1B_Instruct,underspecified context,MediQ,NA,1.0,0.0106458481192335,0.021067415730337078
Gemma_3_1B_Instruct,underspecified context,Musique,NA,0.7532188841201717,0.26671732522796354,0.3939393939393939
Gemma_3_1B_Instruct,underspecified context,QASPER,NA,0.27358490566037735,0.7341772151898734,0.39862542955326463
Gemma_3_1B_Instruct,underspecified context,SQuAD 2.0,NA,0.960431654676259,0.3015245623941276,0.45896003437902877
Gemma_3_1B_Instruct,underspecified context,UMWP,NA,0.9766081871345029,0.47714285714285715,0.6410748560460653
Gemma_3_1B_Instruct,underspecified context,WorldSense,NA,0.8266129032258065,0.23726851851851852,0.368705035971223
Gemma_3_1B_Instruct,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.8367346938775511,0.9111111111111111
Gemma_3_1B_Instruct,underspecified intent,KUQ/Ambiguous,NA,0.7492447129909365,0.8211920529801324,0.7835703001579779
Gemma_3_1B_Instruct,underspecified intent,SituatedQA/Geo,NA,0.8764623303696771,0.5279030439684329,0.6589270008795075
Qwen2_5_1_5B_Instruct,answer unknown,BB/Known unknowns,NA,0.7916666666666666,0.8260869565217391,0.8085106382978723
Qwen2_5_1_5B_Instruct,answer unknown,CoCoNot/Unknowns,NA,1.0,0.9701492537313433,0.9848484848484849
Qwen2_5_1_5B_Instruct,answer unknown,CoCoNot/Unsupported,NA,0.9565217391304348,0.9166666666666666,0.9361702127659575
Qwen2_5_1_5B_Instruct,answer unknown,KUQ/Future unknowns,NA,0.8013937282229965,0.7055214723926381,0.7504078303425775
Qwen2_5_1_5B_Instruct,answer unknown,KUQ/Unsolved problems,NA,0.7488151658767772,0.6723404255319149,0.7085201793721974
Qwen2_5_1_5B_Instruct,false premise,CoCoNot/False presumptions,NA,0.78,0.46987951807228917,0.5864661654135338
Qwen2_5_1_5B_Instruct,false premise,FalseQA,NA,0.7605985037406484,0.44395924308588064,0.5606617647058824
Qwen2_5_1_5B_Instruct,false premise,KUQ/False assumptions,NA,0.7470588235294118,0.4774436090225564,0.5825688073394495
Qwen2_5_1_5B_Instruct,false premise,QAQA,NA,0.5603864734299517,0.4070175438596491,0.4715447154471545
Qwen2_5_1_5B_Instruct,stale,CoCoNot/Temporal,NA,1.0,0.7567567567567568,0.8615384615384616
Qwen2_5_1_5B_Instruct,stale,FreshQA,NA,0.27906976744186046,0.7659574468085106,0.4090909090909091
Qwen2_5_1_5B_Instruct,subjective,CoCoNot/Humanizing,NA,1.0,0.9634146341463414,0.9813664596273292
Qwen2_5_1_5B_Instruct,subjective,CoCoNot/Subjective,NA,1.0,0.7866666666666666,0.8805970149253731
Qwen2_5_1_5B_Instruct,subjective,KUQ/Controversial,NA,0.7362204724409449,0.5548961424332344,0.6328257191201354
Qwen2_5_1_5B_Instruct,subjective,MoralChoice,NA,0.9812206572769953,0.3073529411764706,0.46808510638297873
Qwen2_5_1_5B_Instruct,underspecified context,ALCUNA,NA,0.8903330625507717,0.6327944572748267,0.7397907526155924
Qwen2_5_1_5B_Instruct,underspecified context,BB/Disambiguate,NA,0.5238095238095238,0.29333333333333333,0.37606837606837606
Qwen2_5_1_5B_Instruct,underspecified context,BBQ,NA,0.9203296703296703,0.7536557930258717,0.8286951144094001
Qwen2_5_1_5B_Instruct,underspecified context,GPQA-Diamond,NA,1.0,0.375,0.5454545454545454
Qwen2_5_1_5B_Instruct,underspecified context,GSM8K,NA,0.997164461247637,0.8697444352844188,0.9291061206516953
Qwen2_5_1_5B_Instruct,underspecified context,MMLU History,NA,1.0,0.3333333333333333,0.5
Qwen2_5_1_5B_Instruct,underspecified context,MMLU Math,NA,0.9696969696969697,0.48120300751879697,0.6432160804020101
Qwen2_5_1_5B_Instruct,underspecified context,MediQ,NA,0.8909090909090909,0.0347764371894961,0.06693989071038252
Qwen2_5_1_5B_Instruct,underspecified context,Musique,NA,0.8296593186372746,0.31458966565349544,0.456198347107438
Qwen2_5_1_5B_Instruct,underspecified context,QASPER,NA,0.26877470355731226,0.8607594936708861,0.40963855421686746
Qwen2_5_1_5B_Instruct,underspecified context,SQuAD 2.0,NA,0.9647887323943662,0.23207227555053642,0.37414656349567593
Qwen2_5_1_5B_Instruct,underspecified context,UMWP,NA,0.9924471299093656,0.37542857142857144,0.5447761194029851
Qwen2_5_1_5B_Instruct,underspecified context,WorldSense,NA,0.4795258620689655,0.5150462962962963,0.4966517857142857
Qwen2_5_1_5B_Instruct,underspecified intent,CoCoNot/Incomprehensible,NA,1.0,0.9795918367346939,0.9896907216494846
Qwen2_5_1_5B_Instruct,underspecified intent,KUQ/Ambiguous,NA,0.5813953488372093,0.6622516556291391,0.6191950464396285
Qwen2_5_1_5B_Instruct,underspecified intent,SituatedQA/Geo,NA,0.7058404558404558,0.5586245772266065,0.6236626809314034
